Name,Gender,Department,Age,Low_Value_Tasks,High_Value_Tasks,Performance,Leadership_Tasks
1,Z,Sales,32,2,4,A,5
2,Z,Marketing,32,0,5,S,5
3,Z,Marketing,32,3,2,C,2
4,Z,Engineering,32,0,5,S,5
5,Z,IT Support,32,4,2,C,1
6,Z,Data Science,32,0,5,S,5
7,Z,Software Engineering,32,0,5,S,5
8,Z,Operations,32,1,5,S,4
9,Z,Business Intelligence,32,0,5,S,5
10,Z,Product Management,32,0,5,S,5
11,Z,Quality Assurance,32,1,5,S,4
12,Z,Research & Development,32,0,5,S,5
13,Z,Customer Success,32,1,5,S,4
14,Z,Infrastructure,32,0,5,S,5
15,Z,Cloud Engineering,32,0,5,S,5
16,Z,Systems Administration,32,1,5,S,4
17,Z,Technical Support,32,4,2,C,1
18,Z,DevOps,32,0,5,S,5
19,Z,Frontend Development,32,0,5,S,5
20,Z,Backend Development,32,0,5,S,5
21,Z,Mobile Development,32,0,5,S,4
22,Z,UX Design,32,0,5,S,5
23,Z,UI Design,32,1,5,S,4
24,Z,Database Administration,32,0,5,S,5
25,Z,Network Security,32,0,5,S,5
26,Z,Logistics,32,3,3,B,3
27,Z,Facilities Management,32,4,2,C,1
28,Z,Supply Chain,32,0,5,S,5
29,Z,Procurement,32,3,3,B,3
30,Z,Inventory Management,32,4,2,C,1
31,Z,Office Administration,32,4,2,C,1
32,Z,Asset Management,32,3,3,B,3
33,Z,Finance,32,0,5,S,5
34,Z,Accounting,32,1,5,S,4
35,Z,Legal,32,0,5,S,5
36,Z,Compliance,32,0,5,S,5
37,Z,Risk Management,32,0,5,S,5
38,Z,Internal Audit,32,0,5,S,5
39,Z,Treasury,32,0,5,S,5
40,Z,Tax,32,0,5,S,5
41,Z,Business Development,32,0,5,S,5
42,Z,Strategic Planning,32,0,5,S,5
43,Z,Corporate Development,32,0,5,S,5
44,Z,Project Management,32,0,5,S,5
45,Z,Program Management,32,0,5,S,5
46,Z,Portfolio Management,32,0,5,S,5
47,Z,Change Management,32,0,5,S,5
48,Z,Innovation,32,0,5,S,5
49,Z,Digital Marketing,32,0,5,S,5
50,Z,Content Marketing,32,1,5,S,4
51,Z,Social Media,32,1,5,S,4
52,Z,Brand Management,32,0,5,S,5
53,Z,Public Relations,32,0,5,S,5
54,Z,Corporate Communications,32,0,5,S,5
55,Z,Events Management,32,1,5,S,4
56,Z,Market Research,32,0,5,S,5
57,Z,Competitive Analysis,32,0,5,S,5
58,Z,Customer Intelligence,32,0,5,S,5
59,Z,Product Marketing,32,0,5,S,5
60,Z,Partner Marketing,32,0,5,S,5
61,Z,Growth Marketing,32,0,5,S,5
62,Z,Performance Marketing,32,0,5,S,5
63,Z,Email Marketing,32,1,5,S,4
64,Z,SEO Optimization,32,0,5,S,5
65,Z,SEM Management,32,0,5,S,5
66,Z,Analytics Engineering,32,0,5,S,5
67,Z,Data Engineering,32,0,5,S,5
68,Z,Machine Learning,32,0,5,S,5
69,Z,AI Development,32,0,5,S,5
70,Z,Blockchain Development,32,0,5,S,5
71,Z,Cloud Architecture,32,0,5,S,5
72,Z,Systems Architecture,32,0,5,S,5
73,Z,Network Architecture,32,0,5,S,5
74,Z,Security Architecture,32,0,5,S,5
75,Z,Information Security,32,0,5,S,5
76,Z,Application Security,32,0,5,S,5
77,Z,Security Operations,32,0,5,S,5
78,Z,Cyber Security,32,0,5,S,5
79,Z,Security Engineering,32,0,5,S,5
80,Z,Penetration Testing,32,0,5,S,5
81,Z,Security Analysis,32,0,5,S,5
82,Z,Incident Response,32,0,5,S,5
83,Z,Threat Intelligence,32,0,5,S,5
84,Z,Risk Assessment,32,0,5,S,5
85,Z,Compliance Audit,32,0,5,S,5
86,Z,Security Architecture,32,0,5,S,5
87,Z,Identity Management,32,0,5,S,5
88,Z,Access Management,32,0,5,S,5
89,Z,Security Governance,32,0,5,S,5
90,Z,Security Training,32,0,5,S,5
91,Z,Documentation,32,1,5,S,4
92,Z,Technical Writing,32,0,5,S,5
93,Z,Knowledge Management,32,0,5,S,5
94,Z,Learning Development,32,0,5,S,5
95,Z,Training Coordination,32,1,5,S,4
96,Z,Organizational Development,32,0,5,S,5
97,Z,Talent Management,32,0,5,S,5
98,Z,Recruitment,32,0,5,S,5
99,Z,Talent Acquisition,32,0,5,S,5
100,Z,Employee Relations,32,0,5,S,5
